date,open,high,low,close,market_cap,avg_block_size,blocks_size,cost_per_transaction_percent,cost_per_transaction,difficulty,est_transaction_volume_USD,est_transaction_volume,hash_rate,median_confirmation_time,miners_revenue,n_transactions_excl_chains_longer_than_100,n_transactions_excl_popular,n_transactions_per_block,n_transactions,n_unique_addresses,output_volume,total_bitcoins,trade_volume,transaction_fees_USD,transaction_fees,mempool_count_mean,mempool_count_stddev,mempool_count_min,mempool_count_max,mempool_growth_mean,mempool_growth_stddev,mempool_growth_min,mempool_growth_max,mempool_size_mean,mempool_size_stddev,mempool_size_min,mempool_size_max,wallets_created,transactions_per_sec_mean,transactions_per_sec_stddev,transactions_per_sec_min,transactions_per_sec_max,utxo_count_mean,utxo_count_stddev,utxo_count_min,utxo_count_max,news_stories_total,news_stories_positive,news_stories_negative,news_stories_neutral
5/23/2017,2191.56,2320.82,2178.5,2320.42,37933704066,0.978685167,116683.2646,0.572348307,15.97921599,5.84152E+11,1026598217,448744.853,4976737.782,10.76666667,5668946.092,256495,354151,2188.75,367710,687290,4112953.889,16347800,203482045.6,1071525.908,468.3835685,141015.8306,5869.596653,89900.66667,154421.5,1571.008079,611.2844494,371.2666667,12207.25,108610054.6,2813031.703,68185225.67,114937548,13948531,3.590509259,0.774213425,0.883333333,7.25,53290419.13,31654.95596,53232479,53350112,128,61,35,32
5/22/2017,2043.19,2303.9,2017.87,2173.4,35525744380,0.966800397,116518.8455,0.525074095,14.23012173,5.59971E+11,888560604.1,425013.9292,4064100.394,11.36666667,4499105.297,226497,318975,2245.671233,327868,604610,3323799.865,16345700,295717901.9,850142.8301,406.6380424,140227.6403,10159.68769,0,160907,1530.528646,578.1969145,525.0666667,8526.4,109656403.5,5838089.86,0,119417833.5,13911418,3.45224537,0.783085494,1.6,10.75,53168287.54,36522.23149,53113398,53230550,120,69,28,23
5/21/2017,2067.03,2119.08,2037.5,2041.2,33361091114,0.990363701,116377.6926,0.821703202,13.74759876,5.59971E+11,545513367.9,266554.6942,4091936.698,10.23333333,4331490.19,246467,316206,2218.07483,326057,608719,2312823.371,16343875,128454137.2,721993.7339,352.7884564,140435.8931,9321.728455,116721,164409,1415.248819,705.0536849,186.4833333,9213.716667,103371211.5,8782356.156,81793804,120099140,13880971,2.976840278,0.713451943,0.233333333,7.416666667,53089775.58,16411.10712,53059618,53119015,24,12,7,5
5/20/2017,1984.24,2084.73,1974.92,2084.73,34068630559,0.967212927,116232.1092,0.738231064,14.25759306,5.59971E+11,681378820.8,331908.7984,4592990.172,19.325,4862316.832,270829,343449,2138.212121,352805,646325,2804084.671,16342037.5,136549462.2,796023.6826,387.7538543,171824.8074,12404.19805,91910,206210,1415.898634,825.6483869,6.366666667,10708.31667,96006144.25,5811518.063,45612928,111810727,13855725,2.96349537,1.001923086,0.033333333,12.33333333,53021665.54,17756.469,53000727,53055018,69,24,34,11
5/19/2017,1897.37,2004.52,1890.25,1987.71,32479082015,0.971260817,116072.519,0.569499072,15.30413481,5.59971E+11,858596952.5,437720.1044,4565153.868,11.88333333,4746879.58,219526,309333,1948.182927,319502,633617,2945763.682,16339975,154137281,868584.6807,442.811934,164844.9546,37416.67022,0,212073,1803.08338,1504.157973,11.23333333,23541.03333,88554705.68,19344085.61,0,120203119,13831826,3.614041812,1.38696392,0.05,12.45,52989880.38,21981.63676,52961454,53020515,111,38,47,26
5/18/2017,1818.7,1904.48,1807.12,1888.65,30856574835,0.974609493,115913.2323,0.607714253,14.24470856,5.59971E+11,677185578.4,356585.5829,3952755.178,12.08333333,3986174.981,201268,280634,2034.535211,288904,570189,3210225.945,16337925,110766531.5,744481.1572,392.0214132,172799.8229,14665.86691,0,195488,1322.845113,794.0898113,71.63333333,11995.23333,101726573.5,11652503.65,0,128011726,13805977,2.977128528,0.929841234,0.25,12.8,52925356.17,20749.91004,52898476,52968088,91,21,48,22
5/17/2017,1726.73,1864.05,1661.91,1839.09,30043626195,0.981881942,115774.8377,0.467339209,13.79512474,5.59971E+11,937290192.6,518560.4086,4314627.131,13.9,4241263.699,209853,307080,2048.56129,317527,591515,4046479.136,16336150,132248945.8,878322.2641,485.9361122,166649.8213,6703.751394,70954,187012.5,1411.242523,726.6700413,88.36666667,7395.4,101874149.5,7921760.086,49449070,134286954,13780592,3.134837963,1.362652105,0.2,12.68333333,52850812.08,25201.73223,52817863,52894364,155,65,72,18
5/16/2017,1741.7,1785.94,1686.54,1734.45,28330874003,0.973960871,115622.646,0.599276873,14.81599473,5.59971E+11,578464171.3,332635.7305,3674392.137,13.7,3356331.712,162157,228555,1772.55303,233977,453290,2799129.216,16334212.5,108385267.4,597199.2412,343.4090056,125782.3448,26772.69262,88174.33333,167732,1561.615741,772.2981541,366.95,13572.8,108153482.4,6998834.177,91748645,126175107,13754432,3.362615741,0.9343521,1.15,7.75,52882870.21,29301.08986,52819061,52916734,304,68,181,55
5/15/2017,1808.44,1812.8,1708.54,1738.43,28392885375,0.970711982,115494.0832,0.611154504,12.83492853,5.59971E+11,691417744.1,401257.5795,4732171.692,10.03333333,4090703.35,219237,320922,1936.641176,329229,636246,3103702.086,16332562.5,102816017.7,563985.9434,327.3037703,69926.84207,14816.47157,45769.66667,104516,1732.513565,1213.18312,794.5166667,33834.41667,88746293.25,8586169.755,68711468.67,106913972.5,13728806,3.950810185,1.041427477,1.85,11.66666667,52771466.71,34309.01977,52735218,52861690,297,68,179,50
5/14/2017,1800.86,1831.42,1776.62,1808.91,29540290794,0.975085659,115329.0621,0.953871231,11.29743524,5.59971E+11,437151327.8,246099.9083,4565153.868,13.28333333,4018027.923,286896,361974,2250.597561,369098,691330,2545656.418,16330437.5,61547076.23,528411.9258,297.4762244,104414.1717,27770.83449,64429.33333,148079.5,1385.321528,570.5070092,422.2,8227.25,94526575.93,7107825.119,81453098.33,110303950,13703661,3.226423611,1.086219183,1.116666667,7.9,52685158.38,41029.27016,52632478,52769323,120,13,83,24
